"","state","parameter","pollution","Max","Year"
"98","North Dakota","Nitrogen dioxide (NO2)",5.2820233,58,2010
"99","North Dakota","Ozone",0.04044396875,0.074,2010
"100","North Dakota","PM10 Total 0-10um STP",11.36672025,480,2010
"101","Ohio","Nitrogen dioxide (NO2)",15.006213875,78,2010
"102","Ohio","Ozone",0.049358585,0.113,2010
"103","Ohio","PM10 Total 0-10um STP",22.8090513559322,496,2010
"104","Oklahoma","Nitrogen dioxide (NO2)",11.4972916,58,2010
"105","Oklahoma","Ozone",0.0458954537037037,0.101,2010
"106","Oklahoma","PM10 Total 0-10um STP",19.6139844,801,2010
"107","Oregon","Nitrogen dioxide (NO2)",13.627505,40,2010
"108","Oregon","Ozone",0.036285525,0.112,2010
"109","Oregon","PM10 Total 0-10um STP",13.1006671764706,52,2010
"110","Pennsylvania","Nitrogen dioxide (NO2)",15.954371125,125.7,2010
"111","Pennsylvania","Ozone",0.0480653469387755,0.121,2010
"112","Pennsylvania","PM10 Total 0-10um STP",19.88060242,450,2010
"113","Rhode Island","Nitrogen dioxide (NO2)",7.744874,45,2010
"114","Rhode Island","Ozone",0.0479668333333333,0.099,2010
"115","Rhode Island","PM10 Total 0-10um STP",13.7725442,37,2010
"116","South Carolina","Nitrogen dioxide (NO2)",12.541397,58,2010
"117","South Carolina","Ozone",0.047666525,0.107,2010
"118","South Carolina","PM10 Total 0-10um STP",18.9728255238095,1321,2010
"119","South Dakota","Nitrogen dioxide (NO2)",4.5369886,68,2010
"120","South Dakota","Ozone",0.04259425,0.092,2010
"121","South Dakota","PM10 Total 0-10um STP",18.7058448,959,2010
"122","Tennessee","Nitrogen dioxide (NO2)",12.4935329,53.8,2010
"123","Tennessee","Ozone",0.0514828888888889,0.108,2010
"124","Tennessee","PM10 Total 0-10um STP",20.4296517428571,259,2010
"125","Texas","Nitrogen dioxide (NO2)",12.4437784489796,111.8,2010
"126","Texas","Ozone",0.0420262175324675,0.13,2010
"127","Texas","PM10 Total 0-10um STP",23.2504088679245,2648,2010
"128","Utah","Nitrogen dioxide (NO2)",16.201450125,82,2010
"129","Utah","Ozone",0.05405385,0.109,2010
"130","Utah","PM10 Total 0-10um STP",25.6664574090909,605,2010
"131","Vermont","Nitrogen dioxide (NO2)",12.637271,62.9,2010
"132","Vermont","Ozone",0.04256575,0.081,2010
"133","Vermont","PM10 Total 0-10um STP",10.497765,36,2010
"134","Alabama","Ozone",0.04676546,0.117,2011
"135","Alabama","PM10 Total 0-10um STP",21.68627456,551,2011
"136","Alaska","Ozone",0.0260458125,0.063,2011
"137","Alaska","PM10 Total 0-10um STP",14.473937,878,2011
"138","Arizona","Nitrogen dioxide (NO2)",24.625932875,72,2011
"139","Arizona","Ozone",0.0519834488636364,0.104,2011
"140","Arizona","PM10 Total 0-10um STP",37.6513556780488,6348,2011
"141","Arkansas","Nitrogen dioxide (NO2)",16.478375,66.4,2011
"142","Arkansas","Ozone",0.04721934375,0.105,2011
"143","Arkansas","PM10 Total 0-10um STP",21.433565,49,2011
"144","California","Nitrogen dioxide (NO2)",16.3150716960784,130,2011
"145","California","Ozone",0.0444194030898876,0.16,2011
"146","California","PM10 Total 0-10um STP",25.09756529,13380,2011
"147","Colorado","Nitrogen dioxide (NO2)",11.5770295,94,2011
"148","Colorado","Ozone",0.0559969601449275,0.115,2011
"149","Colorado","PM10 Total 0-10um STP",23.0074048888889,635,2011
"150","Connecticut","Nitrogen dioxide (NO2)",15.514781125,71,2011
"151","Connecticut","Ozone",0.0467017291666667,0.137,2011
"152","Connecticut","PM10 Total 0-10um STP",15.043565625,55,2011
"153","Delaware","Nitrogen dioxide (NO2)",17.3680125,53,2011
"154","Delaware","Ozone",0.0470092857142857,0.113,2011
"155","District Of Columbia","Nitrogen dioxide (NO2)",22.4314125,72,2011
"156","District Of Columbia","Ozone",0.047319125,0.107,2011
"157","District Of Columbia","PM10 Total 0-10um STP",18.0163935,52,2011
"158","Florida","Nitrogen dioxide (NO2)",9.6770625,64,2011
"159","Florida","Ozone",0.0416867838983051,0.108,2011
"160","Florida","PM10 Total 0-10um STP",17.2220785238095,499,2011
"161","Georgia","Nitrogen dioxide (NO2)",10.839715,68,2011
"162","Georgia","Ozone",0.0492458333333333,0.112,2011
"163","Georgia","PM10 Total 0-10um STP",18.65687,202,2011
"164","Hawaii","Nitrogen dioxide (NO2)",5.7947575,38.9,2011
"165","Hawaii","Ozone",0.029147625,0.064,2011
"166","Hawaii","PM10 Total 0-10um STP",16.5206872083333,735,2011
"167","Idaho","Nitrogen dioxide (NO2)",14.6672435,35.7,2011
"168","Idaho","Ozone",0.05007305,0.087,2011
"169","Idaho","PM10 Total 0-10um STP",18.730990047619,802,2011
"170","Illinois","Nitrogen dioxide (NO2)",21.6659093125,89,2011
"171","Illinois","Ozone",0.0448418175675676,0.139,2011
"172","Illinois","PM10 Total 0-10um STP",24.731237125,310,2011
"173","Indiana","Nitrogen dioxide (NO2)",15.468736375,59.5,2011
"174","Indiana","Ozone",0.0470115872093023,0.114,2011
"175","Indiana","PM10 Total 0-10um STP",22.694705875,549,2011
"176","Iowa","Nitrogen dioxide (NO2)",12.3887135,46.3,2011
"177","Iowa","Ozone",0.0429061333333333,0.09,2011
"178","Iowa","PM10 Total 0-10um STP",21.7022561764706,149,2011
"179","Kansas","Nitrogen dioxide (NO2)",12.48386025,87.5,2011
"180","Kansas","Ozone",0.05189224,0.113,2011
"181","Kansas","PM10 Total 0-10um STP",22.4615372666667,487,2011
"182","Kentucky","Nitrogen dioxide (NO2)",10.7311006,50,2011
"183","Kentucky","Ozone",0.0474264112903226,0.125,2011
"184","Kentucky","PM10 Total 0-10um STP",18.7329764285714,451,2011
"185","Louisiana","Nitrogen dioxide (NO2)",12.005019,72.2,2011
"186","Louisiana","Ozone",0.04310875,0.138,2011
"187","Louisiana","PM10 Total 0-10um STP",24.1561561666667,509,2011
"188","Maine","Nitrogen dioxide (NO2)",9.14387,49,2011
"189","Maine","Ozone",0.0371277205882353,0.103,2011
"190","Maine","PM10 Total 0-10um STP",14.6006692,347,2011
"191","Maryland","Nitrogen dioxide (NO2)",22.310104,58,2011
"192","Maryland","Ozone",0.0489470131578947,0.131,2011
"193","Maryland","PM10 Total 0-10um STP",12.9574826,39,2011
"194","Massachusetts","Nitrogen dioxide (NO2)",15.61199675,80.5,2011
"195","Massachusetts","Ozone",0.0427159705882353,0.129,2011
"196","Massachusetts","PM10 Total 0-10um STP",14.0531123,43,2011
"197","Michigan","Nitrogen dioxide (NO2)",15.8063864,67,2011
"198","Michigan","Ozone",0.0448910166666667,0.128,2011
"199","Michigan","PM10 Total 0-10um STP",18.2729543333333,200,2011
"200","Minnesota","Nitrogen dioxide (NO2)",11.8532361666667,54,2011
"201","Minnesota","Ozone",0.039531234375,0.099,2011
"202","Minnesota","PM10 Total 0-10um STP",25.3946592857143,294,2011
"203","Mississippi","Nitrogen dioxide (NO2)",8.8699805,42.3,2011
"204","Mississippi","Ozone",0.0464294090909091,0.105,2011
"205","Mississippi","PM10 Total 0-10um STP",17.918938,37,2011
"206","Missouri","Nitrogen dioxide (NO2)",20.849961,68.9,2011
"207","Missouri","Ozone",0.04993812,0.119,2011
"208","Missouri","PM10 Total 0-10um STP",24.68269195,1906,2011
"209","Montana","Nitrogen dioxide (NO2)",3.57701685714286,360,2011
"210","Montana","Ozone",0.0422917,0.082,2011
"211","Montana","PM10 Total 0-10um STP",20.5863384153846,989,2011
"212","Nebraska","Ozone",0.039857,0.094,2011
"213","Nebraska","PM10 Total 0-10um STP",27.6616660769231,943,2011
"214","Nevada","Nitrogen dioxide (NO2)",19.3344856666667,71.1,2011
"215","Nevada","Ozone",0.0484232905405405,0.108,2011
"216","Nevada","PM10 Total 0-10um STP",20.418117,1000,2011
"217","New Hampshire","Nitrogen dioxide (NO2)",3.384668,12.1,2011
"218","New Hampshire","Ozone",0.0404744791666667,0.108,2011
"219","New Hampshire","PM10 Total 0-10um STP",9.62004775,28,2011
"220","New Jersey","Nitrogen dioxide (NO2)",23.6463670714286,100,2011
"221","New Jersey","Ozone",0.045419453125,0.114,2011
"222","New Jersey","PM10 Total 0-10um STP",26.53105375,77,2011
"223","New Mexico","Nitrogen dioxide (NO2)",13.34748775,61.3,2011
"224","New Mexico","Ozone",0.0477484913793103,0.097,2011
"225","New Mexico","PM10 Total 0-10um STP",30.9994765,6200,2011
"226","New York","Nitrogen dioxide (NO2)",16.2856777142857,116,2011
"227","New York","Ozone",0.0409097567567568,0.139,2011
"228","North Carolina","Nitrogen dioxide (NO2)",14.826363,51,2011
"229","North Carolina","Ozone",0.0499754888888889,0.113,2011
"230","North Carolina","PM10 Total 0-10um STP",14.436317,68,2011
"231","North Dakota","Nitrogen dioxide (NO2)",4.82015955555556,229,2011
"232","North Dakota","Ozone",0.0404393125,0.327,2011
"233","North Dakota","PM10 Total 0-10um STP",12.3753555,473,2011
"234","Ohio","Nitrogen dioxide (NO2)",15.041178,56,2011
"235","Ohio","Ozone",0.0463577163461538,0.112,2011
"236","Ohio","PM10 Total 0-10um STP",19.7214723461538,486,2011
"237","Oklahoma","Nitrogen dioxide (NO2)",12.3819809,63,2011
"238","Oklahoma","Ozone",0.05203931,0.118,2011
"239","Oklahoma","PM10 Total 0-10um STP",23.9742385416667,632,2011
"240","Oregon","Nitrogen dioxide (NO2)",13.585496,38.7,2011
"241","Oregon","Ozone",0.03760425,0.096,2011
"242","Oregon","PM10 Total 0-10um STP",16.3368114285714,62,2011
"243","Pennsylvania","Nitrogen dioxide (NO2)",15.948117275,103,2011
"244","Pennsylvania","Ozone",0.04473621875,0.112,2011
"245","Pennsylvania","PM10 Total 0-10um STP",18.2464982307692,439,2011
"246","Rhode Island","Nitrogen dioxide (NO2)",9.08826816666667,63,2011
"247","Rhode Island","Ozone",0.0467630833333333,0.11,2011
"248","Rhode Island","PM10 Total 0-10um STP",12.976317,38,2011
"249","South Carolina","Nitrogen dioxide (NO2)",10.2148165,50,2011
"250","South Carolina","Ozone",0.04803495,0.105,2011
"251","South Carolina","PM10 Total 0-10um STP",20.7130305,977,2011
"252","South Dakota","Nitrogen dioxide (NO2)",7.0033319,58.5,2011
"253","South Dakota","Ozone",0.0431439166666667,0.08,2011
"254","South Dakota","PM10 Total 0-10um STP",17.9833856,653,2011
"255","Tennessee","Nitrogen dioxide (NO2)",14.796246625,65.1,2011
"256","Tennessee","Ozone",0.0497941666666667,0.111,2011
"257","Tennessee","PM10 Total 0-10um STP",19.0887424516129,273,2011
"258","Texas","Nitrogen dioxide (NO2)",11.9280976956522,73.5,2011
"259","Texas","Ozone",0.0456652525510204,0.14,2011
"260","Texas","PM10 Total 0-10um STP",26.9473843392857,1506,2011
"261","Utah","Nitrogen dioxide (NO2)",10.46466359375,92,2011
"262","Utah","Ozone",0.0553178586956522,0.135,2011
"263","Utah","PM10 Total 0-10um STP",21.0609172,130,2011
"264","Vermont","Nitrogen dioxide (NO2)",12.68290175,54.8,2011
"265","Vermont","Ozone",0.039083625,0.097,2011
"266","Vermont","PM10 Total 0-10um STP",10.1326995,37,2011
"267","Alabama","Ozone",0.045598375,0.113,2012
"268","Alabama","PM10 Total 0-10um STP",18.4687434210526,277,2012
"269","Alaska","Ozone",0.0307264375,0.058,2012
"270","Alaska","PM10 Total 0-10um STP",15.3886342068966,661,2012
"271","Arizona","Nitrogen dioxide (NO2)",25.7368374285714,87,2012
"272","Arizona","Ozone",0.0521466136363636,0.106,2012
"273","Arizona","PM10 Total 0-10um STP",39.4334734017467,12276,2012
"274","Arkansas","Nitrogen dioxide (NO2)",16.88873925,64.2,2012
"275","Arkansas","Ozone",0.0478513611111111,0.099,2012
"276","Arkansas","PM10 Total 0-10um STP",19.1910746666667,42,2012
"277","California","Nitrogen dioxide (NO2)",16.2803897714286,146,2012
"278","California","Ozone",0.045350439516129,0.147,2012
"279","California","PM10 Total 0-10um STP",25.3106924555985,3972,2012
"280","Colorado","Nitrogen dioxide (NO2)",11.0397796666667,85,2012
"281","Colorado","Ozone",0.0574938702531646,0.118,2012
"282","Colorado","PM10 Total 0-10um STP",22.5210341929825,689.5,2012
"283","Connecticut","Nitrogen dioxide (NO2)",12.849962,51,2012
"284","Connecticut","Ozone",0.0494892307692308,0.134,2012
"285","Connecticut","PM10 Total 0-10um STP",12.7517348,54,2012
"286","Delaware","Nitrogen dioxide (NO2)",10.76735025,56.5,2012
"287","Delaware","Ozone",0.0480121071428571,0.121,2012
"288","District Of Columbia","Nitrogen dioxide (NO2)",21.91966175,69.4,2012
"289","District Of Columbia","Ozone",0.050365625,0.109,2012
"290","District Of Columbia","PM10 Total 0-10um STP",16.9948635,40,2012
"291","Florida","Nitrogen dioxide (NO2)",9.90869155555555,76,2012
"292","Florida","Ozone",0.0389040127118644,0.11,2012
"293","Florida","PM10 Total 0-10um STP",17.5900818,502,2012
"294","Georgia","Nitrogen dioxide (NO2)",9.75200133333333,70.1,2012
"295","Georgia","Ozone",0.0455900952380952,0.146,2012
"296","Georgia","PM10 Total 0-10um STP",17.2904690588235,239,2012
"297","Hawaii","Nitrogen dioxide (NO2)",5.82975075,42.3,2012
"298","Hawaii","Ozone",0.027472,0.052,2012
"299","Hawaii","PM10 Total 0-10um STP",15.5042054444444,211,2012
"300","Idaho","Nitrogen dioxide (NO2)",18.55305725,49.8,2012
"301","Idaho","Ozone",0.0512279166666667,0.103,2012
"302","Idaho","PM10 Total 0-10um STP",22.8533012413793,2649,2012
"303","Illinois","Nitrogen dioxide (NO2)",21.9010051428571,88,2012
"304","Illinois","Ozone",0.0488297027027027,0.138,2012
"305","Illinois","PM10 Total 0-10um STP",26.9133678333333,337,2012
"306","Indiana","Nitrogen dioxide (NO2)",15.268239125,52.3,2012
"307","Indiana","Ozone",0.0506452325581395,0.14,2012
"308","Indiana","PM10 Total 0-10um STP",22.370431826087,804,2012
"309","Iowa","Nitrogen dioxide (NO2)",9.452659,50.1,2012
"310","Iowa","Ozone",0.0477762833333333,0.088,2012
"311","Iowa","PM10 Total 0-10um STP",23.0045579444444,141,2012
"312","Kansas","Nitrogen dioxide (NO2)",11.991683375,100.6,2012
"313","Kansas","Ozone",0.052637025,0.12,2012
"314","Kansas","PM10 Total 0-10um STP",23.40412385,503,2012
"315","Kentucky","Nitrogen dioxide (NO2)",10.8578228,51,2012
"316","Kentucky","Ozone",0.0493784838709677,0.125,2012
"317","Kentucky","PM10 Total 0-10um STP",18.8999923571429,266,2012
"318","Louisiana","Nitrogen dioxide (NO2)",11.6196245,67,2012
"319","Louisiana","Ozone",0.042239,0.105,2012
"320","Louisiana","PM10 Total 0-10um STP",21.93123775,329,2012
"321","Maine","Nitrogen dioxide (NO2)",8.50256533333333,49,2012
"322","Maine","Ozone",0.0388529583333333,0.108,2012
"323","Maine","PM10 Total 0-10um STP",16.2599615555556,491,2012
"324","Maryland","Nitrogen dioxide (NO2)",18.4105113333333,63,2012
"325","Maryland","Ozone",0.050934075,0.13,2012
"326","Maryland","PM10 Total 0-10um STP",13.2220176,33,2012
"327","Massachusetts","Nitrogen dioxide (NO2)",13.414464875,77,2012
"328","Massachusetts","Ozone",0.0451356617647059,0.127,2012
"329","Massachusetts","PM10 Total 0-10um STP",13.8802464,72,2012
"330","Michigan","Nitrogen dioxide (NO2)",15.0303387,78,2012
"331","Michigan","Ozone",0.0504307583333333,0.149,2012
"332","Michigan","PM10 Total 0-10um STP",25.6471286818182,985,2012
"333","Minnesota","Nitrogen dioxide (NO2)",9.60021975,87,2012
"334","Minnesota","Ozone",0.0420244047619048,0.112,2012
"335","Minnesota","PM10 Total 0-10um STP",19.2657117727273,337,2012
"336","Mississippi","Nitrogen dioxide (NO2)",7.988812,36.7,2012
"337","Mississippi","Ozone",0.045420225,0.103,2012
"338","Mississippi","PM10 Total 0-10um STP",17.37747,47,2012
"339","Missouri","Nitrogen dioxide (NO2)",21.165905,79.3,2012
"340","Missouri","Ozone",0.0521592826086957,0.131,2012
"341","Missouri","PM10 Total 0-10um STP",26.212707,1015,2012
"342","Montana","Nitrogen dioxide (NO2)",2.69491983333333,335,2012
"343","Montana","Ozone",0.0417857857142857,0.078,2012
"344","Montana","PM10 Total 0-10um STP",20.9039145423729,902,2012
"345","Nebraska","Ozone",0.04591165,0.098,2012
"346","Nebraska","PM10 Total 0-10um STP",31.7462295384615,1648,2012
"347","Nevada","Nitrogen dioxide (NO2)",20.7151705,67.8,2012
"348","Nevada","Ozone",0.0494983878787879,0.105,2012
"349","Nevada","PM10 Total 0-10um STP",27.9749814383562,1297,2012
"350","New Hampshire","Nitrogen dioxide (NO2)",2.65207,11.4,2012
"351","New Hampshire","Ozone",0.0428001041666667,0.112,2012
"352","New Hampshire","PM10 Total 0-10um STP",10.60442375,36,2012
"353","New Jersey","Nitrogen dioxide (NO2)",20.5237521875,90,2012
"354","New Jersey","Ozone",0.0469968970588235,0.112,2012
"355","New Jersey","PM10 Total 0-10um STP",29.4247943333333,87,2012
"356","New Mexico","Nitrogen dioxide (NO2)",12.6726506,70,2012
"357","New Mexico","Ozone",0.04866898,0.092,2012
"358","New Mexico","PM10 Total 0-10um STP",30.8566173768116,10154,2012
"359","New York","Nitrogen dioxide (NO2)",18.8040249166667,74,2012
"360","New York","Ozone",0.0421478157894737,0.127,2012
"361","North Carolina","Nitrogen dioxide (NO2)",14.28743775,52,2012
"362","North Carolina","Ozone",0.0465120333333333,0.13,2012
"363","North Carolina","PM10 Total 0-10um STP",14.7952338125,102,2012
"364","North Dakota","Nitrogen dioxide (NO2)",5.34710755555556,50,2012
"365","North Dakota","Ozone",0.04461340625,0.079,2012
"366","North Dakota","PM10 Total 0-10um STP",15.262859,458,2012
"367","Ohio","Nitrogen dioxide (NO2)",19.294304,60,2012
"368","Ohio","Ozone",0.0504106176470588,0.119,2012
"369","Ohio","PM10 Total 0-10um STP",21.6636797,499,2012
"370","Oklahoma","Nitrogen dioxide (NO2)",11.8030787,127,2012
"371","Oklahoma","Ozone",0.0506929479166667,0.124,2012
"372","Oklahoma","PM10 Total 0-10um STP",23.0274185,868,2012
"373","Oregon","Nitrogen dioxide (NO2)",13.720114,59.2,2012
"374","Oregon","Ozone",0.04130575,0.095,2012
"375","Oregon","PM10 Total 0-10um STP",13.7246488,46,2012
"376","Pennsylvania","Nitrogen dioxide (NO2)",13.5514199047619,77,2012
"377","Pennsylvania","Ozone",0.0474383227272727,0.11,2012
"378","Pennsylvania","PM10 Total 0-10um STP",17.794592745098,267,2012
"379","Rhode Island","Nitrogen dioxide (NO2)",9.0114825,47.7,2012
"380","Rhode Island","Ozone",0.0481664166666667,0.116,2012
"381","Rhode Island","PM10 Total 0-10um STP",13.1337232,51,2012
"382","South Carolina","Nitrogen dioxide (NO2)",9.32060525,80,2012
"383","South Carolina","Ozone",0.0431521785714286,0.107,2012
"384","South Carolina","PM10 Total 0-10um STP",17.7266185,358,2012
"385","South Dakota","Nitrogen dioxide (NO2)",8.1822872,154,2012
"386","South Dakota","Ozone",0.0522195,0.18,2012
"387","South Dakota","PM10 Total 0-10um STP",20.3002531,811,2012
"388","Tennessee","Nitrogen dioxide (NO2)",13.758771875,62.2,2012
"389","Tennessee","Ozone",0.049789125,0.163,2012
"390","Tennessee","PM10 Total 0-10um STP",18.7908786296296,309,2012
"391","Texas","Nitrogen dioxide (NO2)",11.9404241276596,134.7,2012
"392","Texas","Ozone",0.0429622294117647,0.166,2012
"393","Texas","PM10 Total 0-10um STP",25.1213108846154,4739,2012
"394","Utah","Nitrogen dioxide (NO2)",12.6289243571429,88,2012
"395","Utah","Ozone",0.058403974137931,0.107,2012
"396","Utah","PM10 Total 0-10um STP",21.0135798947368,830,2012
"397","Vermont","Nitrogen dioxide (NO2)",11.0499115,40.6,2012
"398","Vermont","Ozone",0.043554875,0.081,2012
"399","Vermont","PM10 Total 0-10um STP",6.9196695,20,2012
"400","Alabama","Nitrogen dioxide (NO2)",17.602023,46.2,2013
"401","Alabama","Ozone",0.0409836739130435,0.092,2013
"402","Alabama","PM10 Total 0-10um STP",17.13254908,276,2013
"403","Alaska","Ozone",0.029926375,0.057,2013
"404","Alaska","PM10 Total 0-10um STP",14.9011525217391,596,2013
"405","Arizona","Nitrogen dioxide (NO2)",23.5401480714286,81,2013
"406","Arizona","Ozone",0.0512725277777778,0.106,2013
"407","Arizona","PM10 Total 0-10um STP",34.4925371143911,13304,2013
"408","Arkansas","Nitrogen dioxide (NO2)",15.18722375,52.5,2013
"409","Arkansas","Ozone",0.0433938055555556,0.088,2013
"410","Arkansas","PM10 Total 0-10um STP",18.4437,64,2013
"411","California","Nitrogen dioxide (NO2)",15.9778314757282,156.9,2013
"412","California","Ozone",0.0445222569832402,0.151,2013
"413","California","PM10 Total 0-10um STP",30.0579769383562,3284,2013
"414","Colorado","Nitrogen dioxide (NO2)",12.93542445,88,2013
"415","Colorado","Ozone",0.0554932007575758,0.12,2013
"416","Colorado","PM10 Total 0-10um STP",20.3581772542373,1220,2013
"417","Connecticut","Nitrogen dioxide (NO2)",15.0431376,76,2013
"418","Connecticut","Ozone",0.0488100416666667,0.135,2013
"419","Connecticut","PM10 Total 0-10um STP",12.6307132,45,2013
"420","Delaware","Nitrogen dioxide (NO2)",10.1326776666667,52.6,2013
"421","Delaware","Ozone",0.0441642857142857,0.103,2013
"422","District Of Columbia","Nitrogen dioxide (NO2)",18.3840003333333,72,2013
"423","District Of Columbia","Ozone",0.04613375,0.09,2013
