"","Year","state","Prevalencepercent","athsmaprevalence","Ozone","PM10","NO2"
"67",2011,"Michigan",9.9,"744,180",0.0448910166666667,18.2729543333333,15.8063864
"68",2011,"Minnesota",7,"279,607",0.039531234375,25.3946592857143,11.8532361666667
"69",2011,"Mississippi",7.7,"169,009",0.0464294090909091,17.918938,8.8699805
"70",2011,"Missouri",9.2,"416,328",0.04993812,24.68269195,20.849961
"71",2011,"Montana",9.1,"69,629",0.0422917,20.5863384153846,3.57701685714286
"72",2011,"Nebraska",7.3,"99,562",0.039857,27.6616660769231,NA
"73",2011,"Nevada",8.1,"162,040",0.0484232905405405,20.418117,19.3344856666667
"74",2011,"New Hampshire",11,"112,813",0.0404744791666667,9.62004775,3.384668
"75",2011,"New Jersey",9,"602,960",0.045419453125,26.53105375,23.6463670714286
"76",2011,"New Mexico",10,"154,017",0.0477484913793103,30.9994765,13.34748775
"77",2011,"New York",9.7,"1,445,168",0.0409097567567568,NA,16.2856777142857
"78",2011,"North Carolina",8.8,"639,337",0.0499754888888889,14.436317,14.826363
"79",2011,"North Dakota",8.1,"41,498",0.0404393125,12.3753555,4.82015955555556
"80",2011,"Ohio",9.8,"862,683",0.0463577163461538,19.7214723461538,15.041178
"81",2011,"Oklahoma",9.6,"269,968",0.05203931,23.9742385416667,12.3819809
"82",2011,"Oregon",10.4,"308,491",0.03760425,16.3368114285714,13.585496
"83",2011,"Pennsylvania",9,"887,934",0.04473621875,18.2464982307692,15.948117275
"84",2011,"Rhode Island",11.8,"97,496",0.0467630833333333,12.976317,9.08826816666667
"85",2011,"South Carolina",8.2,"290,733",0.04803495,20.7130305,10.2148165
"86",2011,"South Dakota",6.9,"41,958",0.0431439166666667,17.9833856,7.0033319
"87",2011,"Tennessee",7.2,"351,078",0.0497941666666667,19.0887424516129,14.796246625
"88",2011,"Texas",7.4,"1,352,057",0.0456652525510204,26.9473843392857,11.9280976956522
"89",2011,"Utah",8.8,"169,987",0.0553178586956522,21.0609172,10.46466359375
"90",2011,"Vermont",11.1,"55,067",0.039083625,10.1326995,12.68290175
"91",2012,"Alabama",8.6,"313,918",0.045598375,18.4687434210526,NA
"92",2012,"Alaska",9,"48,693",0.0307264375,15.3886342068966,NA
"93",2012,"Arizona",8.6,"421,732",0.0521466136363636,39.4334734017467,25.7368374285714
"94",2012,"Arkansas",8.8,"194,542",0.0478513611111111,19.1910746666667,16.88873925
"95",2012,"California",8.8,"2,537,708",0.045350439516129,25.3106924555985,16.2803897714286
"96",2012,"Colorado",8.9,"350,317",0.0574938702531646,22.5210341929825,11.0397796666667
"97",2012,"Connecticut",9.9,"274,173",0.0494892307692308,12.7517348,12.849962
"98",2012,"Delaware",9.9,"70,127",0.0480121071428571,NA,10.76735025
"99",2012,"Florida",8.2,"1,243,825",0.0389040127118644,17.5900818,9.90869155555555
"100",2012,"Georgia",8.2,"605,186",0.0455900952380952,17.2904690588235,9.75200133333333
"101",2012,"Hawaii",8.9,"94,901",0.027472,15.5042054444444,5.82975075
"102",2012,"Idaho",8.5,"98,050",0.0512279166666667,22.8533012413793,18.55305725
"103",2012,"Illinois",8.5,"826,419",0.0488297027027027,26.9133678333333,21.9010051428571
